,name,new_price,old_price,saved_price,sku,url,more_info
849,Black Self Jacquard Woolen Shawl-23-09 B,0,"3,990",0,W-AP-23-375016,https://www.gulahmedshop.com/black-self-jacquard-woolen-shawl-23-09-b,"Blended Woolen, Yes"
850,Digital Print Cambric Shirt With Dupatta IPW-23-25,0,"5,390",0,W-AP-23-376066 -P,https://www.gulahmedshop.com/digital-print-cambric-shirt-with-dupatta-ipw-23-25,"Cambric, Lawn, Yes"
851,Yarn Dyed Embroidered Shirt And Trouser WGK-YDS-DE-2798,3495,6990,3495,W-AP-23-371888 -P,https://www.gulahmedshop.com/yarn-dyed-embroidered-shirt-and-trouser-wgk-yds-de-2798,"Yarn Dyed, Yarn Dyed, Yes, 41% to 50%"
852,Dyed Cotton Jacquard Embroidered Shirt GLS-23-188,2491,4918,2427,W-AP-23-360447 -P,https://www.gulahmedshop.com/dyed-cotton-jacquard-embroidered-shirt-gls-23-188,"Cotton, Yes, 41% to 50%"
853,Rust Plain Woolen Shawl-23-16 J,0,"3,290",0,W-AP-23-375001,https://www.gulahmedshop.com/rust-plain-woolen-shawl-23-16-j,"Blended Woolen, Yes"
854,Grey Poly Viscose Scarf SCF-23-05,0,"2,490",0,W-AP-23-375437,https://www.gulahmedshop.com/grey-poly-viscose-scarf-scf-23-05,"Poly Viscose, Yes"
855,Yarn Dyed Embroidered Shirt WGK-YDW-DE-2888-,0,"3,990",0,W-AP-23-371930 -P,https://www.gulahmedshop.com/yarn-dyed-embroidered-shirt-wgk-ydw-de-2888,"Yarn Dyed, Yes"
856,Yarn Dyed Shirt WGK-YDS-DY-2747,0,"3,990",0,W-AP-23-367167 -P,https://www.gulahmedshop.com/yarn-dyed-shirt-wgk-yds-dy-2747,"Yarn Dyed, Yes"
857,Sussi Dyed Shirt WGK-SUW-DY-3265,2303,3290,987,W-AP-23-372860 -P,https://www.gulahmedshop.com/sussi-dyed-shirt-wgk-suw-dy-3265,"Sussi, Yes, 21% to 30%"
858,Khaddar Printed Shirt And Trouser WGK-KDW-DP-3084,0,"4,990",0,W-AP-23-375347 -P,https://www.gulahmedshop.com/khaddar-printed-shirt-and-trouser-wgk-kdw-dp-3084,"Khaddar, Khaddar, Yes"
859,Printed Shirt And Trouser WGK-PCW-DP-3126,0,"3,490",0,W-AP-23-377491 -P,https://www.gulahmedshop.com/printed-shirt-and-trouser-wgk-pcw-dp-3126,"Poly Cambric, Poly Cambric, Yes"
860,Printed Shirt And Trouser WGK-PCW-DP-3127,0,"3,490",0,W-AP-23-374897 -P,https://www.gulahmedshop.com/printed-shirt-and-trouser-wgk-pcw-dp-3127,"Poly Cambric, Poly Cambric, Yes"
861,Printed Shirt And Trouser WGK-PCW-DP-3129,0,"3,490",0,W-AP-23-374903 -P,https://www.gulahmedshop.com/printed-shirt-and-trouser-wgk-pcw-dp-3129,"Poly Cambric, Poly Cambric, Yes"
862,Digital Print Cambric Shirt With Dupatta IPW-23-23,0,"5,290",0,W-AP-23-376078 -P,https://www.gulahmedshop.com/digital-print-cambric-shirt-with-dupatta-ipw-23-23,"Cambric, Lawn, Yes"
863,Digital Print Khaddar Suit IPW-23-11,0,"6,990",0,W-AP-23-375952 -P,https://www.gulahmedshop.com/digital-print-khaddar-suit-ipw-23-11,"Khaddar, khaddar, Khaddar, Yes"
864,Color Block Yarn Dyed Block Printed Shirt And Trouser WGK-YDW-SP-2045,4103,8204,4101,W-AP-23-349134 -P,https://www.gulahmedshop.com/color-block-yarn-dyed-block-printed-shirt-and-trouser-wgk-ydw-sp-2045,"Yarn Dyed, Yarn Dyed, No, 41% to 50%"
